 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
       1 0.366E+02 0.870E+02 0.912E+00 0.000E+00
       2 0.223E+02 0.706E+02 0.667E+01 0.000E+00
       3 0.518E+01 0.182E+02 0.382E+01 0.000E+00
       4 0.632E+01 0.112E+02 0.786E+01 0.000E+00
       5 0.517E+01 0.984E+01 0.110E+02 0.000E+00
       6 0.472E+01 0.931E+01 0.686E+01 0.000E+00
       7 0.264E+01 0.647E+01 0.896E+01 0.000E+00
       8 0.363E+01 0.476E+01 0.422E+01 0.000E+00
       9 0.267E+01 0.431E+01 0.343E+01 0.000E+00
      10 0.242E+01 0.307E+01 0.227E+01 0.000E+00
      11 0.153E+01 0.318E+01 0.188E+01 0.000E+00
      12 0.117E+01 0.269E+01 0.110E+01 0.000E+00
      13 0.786E+00 0.181E+01 0.895E+00 0.000E+00
      14 0.730E+00 0.157E+01 0.551E+00 0.000E+00
      15 0.113E+01 0.161E+01 0.686E+00 0.000E+00
      16 0.724E+00 0.106E+01 0.865E+00 0.000E+00
      17 0.112E+01 0.149E+01 0.165E+01 0.000E+00
      18 0.111E+01 0.101E+01 0.992E+00 0.000E+00
      19 0.971E+00 0.137E+01 0.217E+01 0.000E+00
      20 0.807E+00 0.883E+00 0.113E+01 0.000E+00
      21 0.858E+00 0.133E+01 0.121E+01 0.000E+00
      22 0.843E+00 0.765E+00 0.690E+00 0.000E+00
      23 0.112E+01 0.134E+01 0.160E+01 0.000E+00
      24 0.112E+01 0.103E+01 0.931E+00 0.000E+00
      25 0.103E+01 0.713E+00 0.513E+00 0.000E+00
      26 0.862E+00 0.472E+00 0.323E+00 0.000E+00
      27 0.568E+00 0.778E+00 0.735E+00 0.000E+00
      28 0.419E+00 0.606E+00 0.448E+00 0.000E+00
      29 0.293E+00 0.103E+01 0.452E+00 0.000E+00
      30 0.287E+00 0.681E+00 0.316E+00 0.000E+00
      31 0.322E+00 0.540E+00 0.292E+00 0.000E+00
      32 0.275E+00 0.385E+00 0.189E+00 0.000E+00
      33 0.353E+00 0.462E+00 0.309E+00 0.000E+00
      34 0.380E+00 0.301E+00 0.245E+00 0.000E+00
      35 0.458E+00 0.475E+00 0.180E+00 0.000E+00
      36 0.441E+00 0.306E+00 0.120E+00 0.000E+00
      37 0.506E+00 0.419E+00 0.139E+00 0.000E+00
      38 0.475E+00 0.289E+00 0.143E+00 0.000E+00
      39 0.476E+00 0.388E+00 0.779E-01 0.000E+00
      40 0.431E+00 0.247E+00 0.143E+00 0.000E+00
      41 0.421E+00 0.279E+00 0.106E+00 0.000E+00
      42 0.374E+00 0.182E+00 0.984E-01 0.000E+00
      43 0.262E+00 0.290E+00 0.108E+00 0.000E+00
      44 0.222E+00 0.198E+00 0.131E+00 0.000E+00
      45 0.130E+00 0.152E+00 0.147E+00 0.000E+00
      46 0.979E-01 0.135E+00 0.105E+00 0.000E+00
      47 0.160E+00 0.192E+00 0.131E+00 0.000E+00
      48 0.156E+00 0.118E+00 0.129E+00 0.000E+00
      49 0.214E+00 0.188E+00 0.119E+00 0.000E+00
      50 0.183E+00 0.122E+00 0.880E-01 0.000E+00
      51 0.213E+00 0.214E+00 0.445E-01 0.000E+00
