 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
       1 0.000E+00 0.356E+01 0.133E+01 0.000E+00
       2 0.516E+00 0.358E+01 0.162E+01 0.000E+00
       3 0.878E+01 0.299E+01 0.888E+00 0.000E+00
       4 0.804E+01 0.262E+01 0.951E+00 0.000E+00
       5 0.893E+01 0.219E+01 0.663E+00 0.000E+00
       6 0.818E+01 0.191E+01 0.608E+00 0.000E+00
       7 0.794E+01 0.163E+01 0.561E+00 0.000E+00
       8 0.728E+01 0.146E+01 0.717E+00 0.000E+00
       9 0.673E+01 0.128E+01 0.735E+00 0.000E+00
      10 0.620E+01 0.115E+01 0.876E+00 0.000E+00
      11 0.566E+01 0.100E+01 0.842E+00 0.000E+00
      12 0.524E+01 0.880E+00 0.966E+00 0.000E+00
      13 0.483E+01 0.784E+00 0.863E+00 0.000E+00
      14 0.447E+01 0.680E+00 0.970E+00 0.000E+00
      15 0.417E+01 0.595E+00 0.804E+00 0.000E+00
      16 0.385E+01 0.523E+00 0.893E+00 0.000E+00
      17 0.359E+01 0.470E+00 0.840E+00 0.000E+00
      18 0.331E+01 0.391E+00 0.914E+00 0.000E+00
      19 0.305E+01 0.450E+00 0.828E+00 0.000E+00
      20 0.280E+01 0.375E+00 0.885E+00 0.000E+00
      21 0.253E+01 0.448E+00 0.753E+00 0.000E+00
      22 0.232E+01 0.381E+00 0.792E+00 0.000E+00
      23 0.205E+01 0.444E+00 0.655E+00 0.000E+00
      24 0.188E+01 0.407E+00 0.693E+00 0.000E+00
      25 0.162E+01 0.409E+00 0.622E+00 0.000E+00
      26 0.148E+01 0.423E+00 0.646E+00 0.000E+00
      27 0.126E+01 0.428E+00 0.584E+00 0.000E+00
      28 0.114E+01 0.430E+00 0.621E+00 0.000E+00
      29 0.957E+00 0.447E+00 0.579E+00 0.000E+00
      30 0.866E+00 0.451E+00 0.603E+00 0.000E+00
      31 0.723E+00 0.423E+00 0.536E+00 0.000E+00
      32 0.653E+00 0.428E+00 0.565E+00 0.000E+00
      33 0.549E+00 0.449E+00 0.530E+00 0.000E+00
      34 0.494E+00 0.462E+00 0.547E+00 0.000E+00
      35 0.425E+00 0.422E+00 0.492E+00 0.000E+00
      36 0.381E+00 0.444E+00 0.504E+00 0.000E+00
      37 0.361E+00 0.441E+00 0.475E+00 0.000E+00
      38 0.304E+00 0.456E+00 0.483E+00 0.000E+00
      39 0.368E+00 0.427E+00 0.441E+00 0.000E+00
      40 0.302E+00 0.445E+00 0.439E+00 0.000E+00
      41 0.365E+00 0.433E+00 0.414E+00 0.000E+00
      42 0.307E+00 0.447E+00 0.417E+00 0.000E+00
      43 0.379E+00 0.422E+00 0.386E+00 0.000E+00
      44 0.308E+00 0.437E+00 0.381E+00 0.000E+00
      45 0.386E+00 0.418E+00 0.381E+00 0.000E+00
      46 0.319E+00 0.440E+00 0.356E+00 0.000E+00
      47 0.399E+00 0.409E+00 0.358E+00 0.000E+00
      48 0.319E+00 0.430E+00 0.325E+00 0.000E+00
      49 0.406E+00 0.399E+00 0.356E+00 0.000E+00
      50 0.327E+00 0.424E+00 0.323E+00 0.000E+00
      51 0.407E+00 0.388E+00 0.326E+00 0.000E+00
      52 0.330E+00 0.411E+00 0.305E+00 0.000E+00
      53 0.404E+00 0.380E+00 0.333E+00 0.000E+00
      54 0.351E+00 0.399E+00 0.297E+00 0.000E+00
      55 0.388E+00 0.372E+00 0.309E+00 0.000E+00
      56 0.376E+00 0.384E+00 0.279E+00 0.000E+00
      57 0.410E+00 0.356E+00 0.292E+00 0.000E+00
      58 0.403E+00 0.366E+00 0.259E+00 0.000E+00
      59 0.439E+00 0.346E+00 0.274E+00 0.000E+00
      60 0.432E+00 0.353E+00 0.250E+00 0.000E+00
      61 0.469E+00 0.328E+00 0.261E+00 0.000E+00
      62 0.462E+00 0.339E+00 0.227E+00 0.000E+00
      63 0.500E+00 0.312E+00 0.234E+00 0.000E+00
      64 0.491E+00 0.331E+00 0.215E+00 0.000E+00
      65 0.529E+00 0.299E+00 0.228E+00 0.000E+00
      66 0.519E+00 0.324E+00 0.204E+00 0.000E+00
      67 0.556E+00 0.293E+00 0.205E+00 0.000E+00
      68 0.543E+00 0.315E+00 0.200E+00 0.000E+00
      69 0.581E+00 0.292E+00 0.195E+00 0.000E+00
      70 0.566E+00 0.318E+00 0.194E+00 0.000E+00
      71 0.604E+00 0.282E+00 0.183E+00 0.000E+00
      72 0.586E+00 0.314E+00 0.183E+00 0.000E+00
      73 0.623E+00 0.287E+00 0.180E+00 0.000E+00
      74 0.602E+00 0.300E+00 0.176E+00 0.000E+00
      75 0.634E+00 0.283E+00 0.176E+00 0.000E+00
      76 0.611E+00 0.303E+00 0.167E+00 0.000E+00
      77 0.636E+00 0.273E+00 0.178E+00 0.000E+00
      78 0.610E+00 0.288E+00 0.156E+00 0.000E+00
      79 0.624E+00 0.270E+00 0.183E+00 0.000E+00
      80 0.597E+00 0.284E+00 0.155E+00 0.000E+00
      81 0.599E+00 0.256E+00 0.184E+00 0.000E+00
      82 0.572E+00 0.268E+00 0.156E+00 0.000E+00
      83 0.562E+00 0.249E+00 0.182E+00 0.000E+00
      84 0.535E+00 0.266E+00 0.155E+00 0.000E+00
      85 0.514E+00 0.243E+00 0.181E+00 0.000E+00
      86 0.487E+00 0.253E+00 0.154E+00 0.000E+00
      87 0.459E+00 0.228E+00 0.178E+00 0.000E+00
      88 0.435E+00 0.242E+00 0.152E+00 0.000E+00
      89 0.403E+00 0.225E+00 0.174E+00 0.000E+00
      90 0.382E+00 0.237E+00 0.148E+00 0.000E+00
